name,birthday
Albert Einstein,1879-03-14
Marie Curie,1867-11-07
Isaac Newton,1643-01-04
Galileo Galilei,1564-02-15
Stephen Hawking,1942-01-08
Nikola Tesla,1856-07-10
Nikolaus Copernicus,1473-02-19
Charles Darwin,1809-02-12
Louis Pasteur,1822-12-27
Alexander Fleming,1881-08-06
Benjamin Franklin,1706-01-17
Leonardo da Vinci,1452-04-15
Tim Berners-Lee,1955-06-08
Bill Gates,1955-10-28
Steve Jobs,1955-02-24
Steve Wozniak,1950-08-11
Larry Page,1973-03-26
Sergey Brin,1973-08-21
Linus Torvalds,1969-12-28
Richard Stallman,1953-03-16
Donald Knuth,1938-01-10
Alan Turing,1912-06-23
Vint Cerf,1943-06-27
Bob Kahn,1938-12-23
John Bardeen,1908-05-23
William Shockley,1910-02-13
Walter Brattain,1902-02-10
Grace Hopper,1906-12-09
Ada Lovelace,1815-12-10
Hedy Lamarr,1914-11-09
Dennis Ritchie,1941-09-09
Ken Thompson,1943-02-04
Martin Hellman,1945-10-02
Whitfield Diffie,1942-06-05
Marc Andreessen,1971-07-09
Eric Bina,1969-02-17
Marc Benioff,1964-03-24
Larry Ellison,1944-08-17
Safra Catz,1961-03-01
Marc Benioff,1964-03-24
Jeff Bezos,1964-01-12
Satya Nadella,1967-08-19
Sundar Pichai,1972-06-10
Ginni Rometty,1958-07-25
Meg Whitman,1956-08-04
Douglas Engelbart,1925-01-30
J.C.R. Licklider,1915-03-11
Alan Kay,1940-05-17
Douglas Ross,1924-02-27
Butler Lampson,1936-08-23
Robert Metcalfe,1946-04-07
John McCarthy,1927-09-04
Marvin Minsky,1927-08-09
Donald Knuth,1938-01-10
Edsger Dijkstra,1930-05-11
Alan Kay,1940-05-17
Peter Norvig,1956-12-19
Stuart Russell,1962-06-22
Andrew Ng,1976-08-04
Geoffrey Hinton,1947-12-06
Yann LeCun,1960-07-08
David Silver,1976-07-28
Demis Hassabis,1976-07-26
Richard Sutton,1948-03-24
Judea Pearl,1936-09-04
Daphne Koller,1968-08-27
Geoffrey Hinton,1947-12-06
Yann LeCun,1960-07-08
David Silver,1976-07-28
Demis Hassabis,1976-07-26
Richard Sutton,1948-03-24
Judea Pearl,1936-09-04
Daphne Koller,1968-08-27
Tom Hanks,1956-07-09
Robert De Niro,1943-08-17
Al Pacino,1940-04-25
Meryl Streep,1949-06-22
Jack Nicholson,1937-04-22
Clint Eastwood,1930-05-31
Morgan Freeman,1937-06-01
Dustin Hoffman,1937-08-08
Robert Duvall,1931-01-05
Gene Hackman,1930-01-30
Denzel Washington,1954-12-28
Marlon Brando,1924-04-03
Katharine Hepburn,1907-12-04
Humphrey Bogart,1899-12-25
Ingrid Bergman,1915-08-29
Cary Grant,1904-01-18
Elizabeth Taylor,1932-02-27
James Dean,1931-02-08
Marilyn Monroe,1926-06-01
Audrey Hepburn,1929-05-04
Paul Newman,1925-01-26
Grace Kelly,1929-11-12
Gregory Peck,1916-04-05
Kirk Douglas,1916-12-09
Spencer Tracy,1900-04-05
Katharine Hepburn,1907-12-04
Bette Davis,1908-04-05
Judy Garland,1922-06-10
Vivien Leigh,1913-11-05
Laurence Olivier,1907-05-22
Charles Chaplin,1889-04-16
Buster Keaton,1895-10-04
Harold Lloyd,1893-04-20
John Wayne,1907-05-26
Gary Cooper,1901-05-07
Henry Fonda,1905-05-16
James Cagney,1899-07-31
Humphrey Bogart,1899-12-25
Clark Gable,1901-02-01
Aretha Franklin,1942-03-25
Elvis Presley,1935-01-08
Whitney Houston,1963-08-09
Michael Jackson,1958-08-29
Madonna,1958-08-16
Elton John,1947-03-25
Celine Dion,1968-03-30
Mariah Carey,1969-03-27
Stevie Wonder,1950-05-13
Frank Sinatra,1915-12-12
David Bowie,1947-01-08
Freddie Mercury,1946-09-05
John Lennon,1940-10-09
Paul McCartney,1942-06-18
Bob Dylan,1941-05-24
Armin van Buuren,1976-10-07
Usher,1978-10-06
Matt Damon,1970-10-08
Christopher Nolan,1970-10-10
Margaret Thatcher,1925-10-11
Hugh Jackman,1968-10-12
Zac Efron,1987-10-13
Viggo Mortensen,1958-10-14
Agatha Christie,1890-10-15
